Starting
Starting
Stepper Pin:14
1073494588
1073494252
    F_CPU=240000000
    TICKS_PER_S=16000000
.Connected to Wifi, Connecting to server.
Connected!
1.23,-980
1.22,-982
1.08,-983
1.23,-984
1.21,-985
1.13,-987
1.31,-988
1.08,-989
1.10,-991
1.02,-992
1.25,-993
1.27,-995
1.19,-996
1.25,-997
1.19,-999
1.15,-1000
1.23,-1001
1.17,-1003
1.02,-1004
1.23,-1005
1.24,-1006
1.17,-1008
1.15,-1009
1.17,-1010
1.18,-1012
1.18,-1013
1.39,-1014
1.26,-1016
1.12,-1017
1.17,-1018
1.10,-1020
0.33,-1021
0.10,-1022
0.41,-1024
1.18,-1025
1.22,-1026
1.19,-1028
1.05,-1029
1.15,-1030
1.21,-1031
1.01,-1033
1.19,-1034
1.29,-1035
1.15,-1037
1.20,-1038
1.27,-1039
1.16,-1041
1.11,-1042
1.23,-1043
1.16,-1045
1.14,-1046
1.28,-1047
1.14,-1049
1.21,-1050
1.17,-1051
1.20,-1052
1.17,-1054
1.22,-1055
1.28,-1056
1.20,-1058
1.12,-1059
1.25,-1060
1.13,-1062
1.17,-1063
1.15,-1064
1.22,-1066
1.22,-1067
1.17,-1068
1.25,-1070
1.17,-1071
0.28,-1072
0.14,-1074
0.41,-1075
1.21,-1076
1.25,-1077
1.12,-1079
1.19,-1080
1.27,-1081
1.29,-1083
1.09,-1084
1.14,-1085
1.08,-1087
1.26,-1088
1.16,-1089
1.11,-1091
1.18,-1092
1.02,-1093
1.31,-1095
0.98,-1096
1.27,-1097
1.21,-1098
1.18,-1100
1.23,-1101
1.11,-1102
1.15,-1104
1.14,-1105
1.20,-1106
1.34,-1108
1.14,-1109
1.14,-1110
1.24,-1112
1.17,-1113
1.23,-1114
1.31,-1116
1.21,-1117
1.16,-1118
1.20,-1119
1.23,-1121
1.17,-1122
0.31,-1123
0.20,-1125
0.50,-1126
1.15,-1127
1.27,-1129
1.13,-1130
1.20,-1131
1.24,-1133
1.07,-1134
1.17,-1135
0.95,-1137
1.17,-1138
1.23,-1139
1.17,-1141
1.01,-1142
1.21,-1143
1.22,-1144
1.16,-1146
1.06,-1147
1.33,-1148
1.12,-1150
1.21,-1151
1.16,-1152
1.29,-1154
1.16,-1155
1.21,-1156
1.19,-1158
1.11,-1159
1.24,-1160
1.25,-1162
1.30,-1163
1.08,-1164
1.27,-1165
1.19,-1167
1.12,-1168
1.34,-1169
1.23,-1171
1.21,-1172
1.19,-1173
0.29,-1175
0.09,-1176
0.48,-1177
1.32,-1179
1.19,-1180
1.15,-1181
1.31,-1183
1.11,-1184
1.23,-1185
1.27,-1186
1.05,-1188
1.17,-1189
1.20,-1190
1.12,-1192
1.19,-1193
1.13,-1194
1.09,-1196
1.13,-1197
1.29,-1198
1.24,-1200
1.19,-1201
1.36,-1202
1.16,-1204
1.09,-1205
1.27,-1206
1.22,-1207
1.12,-1209
1.06,-1210
1.36,-1211
1.18,-1213
1.21,-1214
1.24,-1215
1.05,-1217
1.18,-1218
1.22,-1219
1.34,-1221
1.12,-1222
1.22,-1223
1.27,-1225
0.14,-1226
0.04,-1227
0.53,-1229
1.30,-1230
1.25,-1231
1.17,-1232
1.12,-1234
1.23,-1235
1.31,-1236
1.11,-1238
1.27,-1239
1.33,-1240
1.18,-1242
1.26,-1243
1.27,-1244
1.41,-1246
1.28,-1247
1.27,-1248
1.27,-1250
1.17,-1251
1.00,-1252
1.16,-1253
1.22,-1255
1.20,-1256
1.22,-1257
1.10,-1259
1.16,-1260
1.14,-1261
1.29,-1263
1.16,-1264
1.20,-1265
1.14,-1267
1.14,-1268
1.31,-1269
1.21,-1271
1.07,-1272
1.27,-1273
1.21,-1274
1.28,-1276
0.16,-1277
0.14,-1278
0.63,-1280
1.23,-1281
1.25,-1282
1.15,-1284
1.12,-1285
1.19,-1286
1.17,-1288
1.11,-1289
1.20,-1290
1.15,-1292
1.10,-1293
1.18,-1294
1.28,-1296
1.12,-1297
1.19,-1298
1.17,-1299
1.21,-1301
1.08,-1302
1.51,-1303
0.92,-1309
1.07,-1308
0.90,-1306
0.74,-1305
0.82,-1304
0.96,-1302
0.79,-1301
0.98,-1300
0.93,-1298
0.81,-1297
0.92,-1296
0.99,-1294
0.86,-1293
0.86,-1292
-0.15,-1290
-0.24,-1289
0.51,-1288
0.88,-1286
0.86,-1285
1.14,-1284
0.94,-1282
0.93,-1281
0.98,-1280
0.91,-1278
0.88,-1277
0.97,-1276
0.84,-1274
0.90,-1273
0.73,-1272
1.02,-1270
0.85,-1269
0.97,-1268
0.83,-1266
0.79,-1265
0.95,-1264
0.92,-1262
0.90,-1261
0.92,-1260
0.99,-1259
0.90,-1257
0.99,-1256
1.03,-1255
0.87,-1253
0.83,-1252
0.91,-1251
0.88,-1249
0.80,-1248
0.95,-1247
0.88,-1245
0.77,-1244
0.86,-1243
0.86,-1241
0.39,-1240
-0.06,-1239
-0.03,-1237
0.92,-1236
0.96,-1235
1.02,-1233
0.76,-1232
0.99,-1231
0.76,-1229
0.87,-1228
0.97,-1227
0.85,-1225
0.98,-1224
0.85,-1223
0.93,-1221
0.88,-1220
0.83,-1219
0.82,-1217
0.94,-1216
1.01,-1215
0.89,-1213
1.00,-1212
1.05,-1211
0.96,-1209
0.96,-1208
0.82,-1207
0.87,-1205
0.89,-1204
0.86,-1203
0.87,-1202
0.89,-1200
0.88,-1199
1.12,-1198
0.72,-1196
0.76,-1195
0.98,-1194
0.88,-1192
1.00,-1191
0.95,-1190
-0.13,-1188
-0.01,-1187
0.57,-1186
1.03,-1184
0.90,-1183
0.98,-1182
0.77,-1180
0.84,-1179
1.06,-1178
0.90,-1176
0.91,-1175
1.04,-1174
0.95,-1172
0.95,-1171
0.89,-1170
0.89,-1168
0.78,-1167
0.79,-1166
0.91,-1164
0.84,-1163
1.01,-1162
0.91,-1160
0.80,-1159
0.95,-1158
1.05,-1156
0.83,-1155
0.90,-1154
0.97,-1152
0.91,-1151
1.08,-1150
0.87,-1148
0.85,-1147
0.92,-1146
0.79,-1145
0.79,-1143
0.93,-1142
0.99,-1141
0.90,-1139
0.62,-1138
-0.19,-1137
-0.09,-1135
1.01,-1134
1.10,-1133
0.83,-1131
0.92,-1130
0.89,-1129
0.91,-1127
0.82,-1126
0.83,-1125
0.86,-1123
0.92,-1122
0.97,-1121
0.83,-1119
0.96,-1118
1.01,-1117
0.84,-1115
1.15,-1114
1.02,-1113
0.99,-1111
0.77,-1110
0.86,-1109
0.91,-1107
0.79,-1106
0.99,-1105
0.91,-1103
0.87,-1102
0.99,-1101
0.98,-1099
0.80,-1098
0.91,-1097
0.97,-1095
0.99,-1094
0.95,-1093
1.07,-1091
0.94,-1090
0.89,-1089
0.79,-1088
0.20,-1086
-0.07,-1085
0.12,-1083
0.88,-1082
0.85,-1081
0.89,-1079
1.02,-1078
1.02,-1077
1.08,-1075
0.92,-1074
0.91,-1073
0.97,-1072
0.81,-1070
1.00,-1069
0.98,-1068
0.77,-1066
1.01,-1065
0.89,-1064
0.84,-1062
0.87,-1061
0.89,-1060
1.04,-1058
0.86,-1057
1.01,-1056
1.01,-1054
0.97,-1053
0.76,-1052
0.82,-1050
0.80,-1049
0.86,-1048
0.96,-1046
0.83,-1045
1.04,-1044
0.91,-1042
0.93,-1041
0.82,-1040
0.74,-1038
0.94,-1037
0.80,-1036
-0.26,-1034
0.08,-1033
-0.28,-1032
-0.17,-1030
0.18,-1029
0.92,-1028
0.98,-1026
0.93,-1025
1.03,-1024
0.81,-1022
0.87,-1021
0.88,-1020
0.97,-1018
0.78,-1017
0.95,-1016
0.89,-1015
0.77,-1013
0.99,-1012
0.89,-1011
0.99,-1009
0.97,-1008
0.92,-1007
0.71,-1005
0.92,-1004
0.81,-1003
0.77,-1001
0.81,-1000
0.93,-999
0.81,-997
1.02,-996
0.96,-995
0.91,-993
0.78,-992
0.96,-991
0.85,-989
0.69,-988
0.98,-987
0.85,-985
0.43,-984
-0.05,-983
-0.10,-981
0.80,-980
0.90,-979
0.71,-977
0.87,-976
0.87,-975
0.72,-973
0.79,-972
0.83,-971
0.93,-969
0.73,-968
0.86,-967
0.89,-965
0.88,-964
1.01,-963
1.08,-961
0.90,-960
0.96,-959
1.01,-957
0.87,-956
1.03,-955
1.03,-954
0.86,-952
0.79,-951
0.98,-950
0.83,-948
0.82,-947
0.91,-946
1.08,-944
0.92,-943
0.82,-942
0.89,-940
0.82,-939
1.04,-938
0.84,-936
0.90,-935
1.03,-934
-0.10,-932
-0.22,-931
0.40,-930
0.97,-928
0.91,-927
0.88,-926
0.95,-924
0.90,-923
1.00,-922
0.81,-920
0.86,-919
0.91,-918
0.96,-916
0.83,-915
0.91,-914
0.79,-912
0.86,-911
0.90,-910
0.81,-908
0.91,-907
0.86,-906
0.97,-904
0.87,-903
0.84,-902
0.87,-900
0.83,-899
0.85,-898
0.80,-897
0.91,-895
0.95,-894
0.99,-893
0.78,-891
0.83,-890
0.91,-889
0.81,-887
0.83,-886
0.98,-885
1.04,-883
0.62,-882
-0.35,-881
-0.22,-879
0.74,-878
0.93,-877
0.88,-875
0.92,-874
0.89,-873
0.90,-871
0.85,-870
1.11,-869
0.95,-867
0.88,-866
0.79,-865
0.87,-863
0.78,-862
0.83,-861
0.90,-859
0.98,-858
0.79,-857
1.01,-855
0.82,-854
0.90,-853
0.82,-851
0.82,-850
0.86,-849
0.89,-847
0.88,-846
0.91,-845
0.84,-843
0.86,-842
0.98,-841
0.87,-839
0.80,-838
0.98,-837
0.84,-836
0.90,-834
0.96,-833
0.80,-832
0.16,-830
-0.18,-829
-0.21,-827
-0.53,-826
-0.07,-825
-0.02,-823
-0.32,-822
-0.03,-821
-0.17,-820
-0.10,-818
-0.18,-817
-0.21,-816
-0.30,-814
-0.21,-813
-0.21,-812
-0.15,-810
-0.11,-809
-0.09,-808
-0.18,-806
-0.14,-805
-0.12,-804
-0.11,-802
-0.33,-801
-0.19,-800
-0.07,-798
0.42,-797
0.84,-796
0.96,-794
0.83,-793
0.90,-792
0.88,-790
0.90,-789
0.86,-788
0.75,-786
0.73,-785
0.95,-784
1.02,-783
0.83,-781
0.93,-780
-0.18,-779
-0.17,-777
0.48,-776
0.93,-774
0.96,-773
0.91,-772
0.93,-770
0.84,-769
1.00,-768
0.95,-767
0.97,-765
0.90,-764
0.91,-763
0.93,-761
0.86,-760
1.02,-759
0.89,-757
0.85,-756
0.96,-755
0.81,-753
0.86,-752
1.10,-751
1.05,-749
0.93,-748
0.92,-747
0.96,-745
0.86,-744
0.94,-743
0.88,-741
0.71,-740
0.89,-739
0.93,-737
0.94,-736
0.88,-735
0.96,-733
0.84,-732
0.81,-731
0.92,-729
0.37,-728
-0.08,-727
-0.03,-725
0.86,-724
0.76,-723
1.00,-721
0.81,-720
0.89,-719
0.97,-717
0.81,-716
0.92,-715
0.92,-713
1.10,-712
0.98,-711
0.87,-709
0.84,-708
1.02,-707
0.92,-706
0.90,-704
0.89,-703
0.96,-702
0.75,-700
0.80,-699
0.91,-698
1.06,-696
0.97,-695
0.97,-694
0.87,-692
0.78,-691
0.86,-690
0.87,-688
0.92,-687
0.98,-686
0.99,-684
0.88,-683
0.96,-682
0.91,-680
0.91,-679
1.06,-678
-0.06,-676
-0.07,-675
0.40,-674
0.72,-672
0.96,-671
0.87,-670
1.00,-668
0.90,-667
1.03,-666
0.79,-664
0.81,-663
0.89,-662
0.75,-660
0.90,-659
0.86,-658
0.96,-656
0.92,-655
0.98,-654
1.01,-652
0.99,-651
0.91,-650
0.97,-648
0.79,-647
0.82,-646
0.87,-645
0.72,-643
1.03,-642
0.86,-641
0.80,-639
0.87,-638
0.79,-637
0.84,-635
0.97,-634
0.95,-633
0.86,-631
0.75,-630
0.86,-629
0.71,-627
0.58,-626
-0.04,-625
-0.15,-623
0.71,-622
0.93,-621
1.05,-619
0.95,-618
0.95,-617
0.95,-615
0.81,-614
0.88,-613
0.91,-611
0.83,-610
0.88,-609
1.01,-607
0.84,-606
0.79,-605
0.89,-603
0.91,-602
0.96,-601
0.99,-599
0.92,-598
0.93,-597
0.91,-595
1.05,-594
0.94,-593
0.83,-591
0.90,-590
0.91,-589
0.88,-587
0.94,-586
0.89,-585
0.92,-584
0.80,-582
0.77,-581
0.96,-580
0.81,-578
0.82,-577
0.83,-576
0.15,-574
-0.21,-573
0.02,-572
0.89,-570
1.00,-569
0.85,-568
0.79,-566
0.88,-565
0.79,-564
0.94,-562
0.81,-561
1.02,-560
0.87,-558
1.03,-557
0.79,-556
0.90,-554
0.83,-553
0.99,-552
0.76,-550
0.87,-549
0.88,-548
0.82,-546
0.91,-545
0.98,-544
1.02,-542
0.91,-541
0.91,-540
0.95,-538
0.88,-537
0.86,-536
1.04,-534
0.90,-533
0.95,-532
0.80,-531
0.88,-529
0.82,-528
0.93,-527
0.88,-525
0.90,-524
-0.12,-523
-0.13,-521
0.50,-520
0.76,-519
0.99,-517
0.90,-516
0.86,-515
0.88,-513
0.92,-512
0.85,-511
0.96,-509
0.81,-508
0.93,-507
0.93,-505
0.83,-504
0.78,-503
0.99,-501
0.88,-500
0.84,-499
0.76,-497
0.73,-496
0.94,-495
0.90,-493
0.90,-492
0.95,-491
0.87,-489
0.78,-488
0.90,-487
0.93,-485
1.03,-484
1.00,-483
0.93,-481
0.86,-480
0.83,-479
0.94,-477
0.88,-476
1.00,-475
0.74,-473
0.42,-472
-0.19,-471
0.01,-469
0.82,-468
1.06,-467
0.99,-465
0.79,-464
0.93,-463
0.81,-461
0.79,-460
0.88,-459
0.87,-458
0.87,-456
0.72,-455
1.05,-454
0.85,-452
1.03,-451
0.86,-450
0.85,-448
0.81,-447
0.82,-446
0.82,-444
0.88,-443
1.06,-442
0.87,-440
0.75,-439
0.88,-438
0.89,-436
0.87,-435
0.86,-434
0.77,-432
0.77,-431
0.96,-430
0.84,-428
0.82,-427
0.89,-426
0.90,-424
0.81,-423
0.82,-422
0.06,-420
-0.09,-419
0.43,-418
0.94,-416
0.89,-415
0.78,-414
0.97,-412
0.86,-411
0.97,-410
0.85,-408
